,index_found,forward_difference,subsequence,memory_station
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",262,262,5542497215,0x7efc02627190
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].1",1294,1032,1146015451,0x7efc026272b0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].2",2180,886,7766819451,0x7efc02626e70
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].3",2432,252,5502637079,0x7efc7b902050
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].4",3303,871,3562279097,0x7efc02624930
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].5",4072,769,1326611455,0x7efc02627250
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].6",5731,1659,3580491633,0x7efc02627110
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].7",8078,2347,7166053877,0x7efc02625690
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].8",8197,119,7702853671,0x7efc7b900fb0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].9",8382,185,9728817213,0x7efc7b9017f0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].10",9522,1140,5386859897,0x7efc02625bf0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].11",9609,87,5704217211,0x7efc7b900bb0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].12",9948,339,3102895055,0x7efc02627050
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].13",11250,1302,5122475413,0x7efc026256d0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].14",16719,5469,3788473831,0x7efc026251b0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].15",16735,16,9520277255,0x7efc7b9002d0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].16",17321,586,5586417477,0x7efc026270b0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].17",17737,416,3964677499,0x7efc02626e50
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].18",18394,657,9766073455,0x7efc02625910
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].19",18479,85,1966893873,0x7efc7b900b70
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].20",20817,2338,3562835011,0x7efc02626f90
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].21",20987,170,5502451673,0x7efc7b901610
