,from_src,to_dest,distance,node_link
0,0x7efc02627190,0x7efc026272b0,262,FORWARD_EDGE
1,0x7efc026272b0,0x7efc02626e70,1032,FORWARD_EDGE
2,0x7efc02626e70,0x7efc7b902050,886,FORWARD_EDGE
3,0x7efc7b902050,0x7efc02624930,252,FORWARD_EDGE
4,0x7efc02624930,0x7efc02627250,871,FORWARD_EDGE
5,0x7efc02627250,0x7efc02627110,769,FORWARD_EDGE
6,0x7efc02627110,0x7efc02625690,1659,FORWARD_EDGE
7,0x7efc02625690,0x7efc7b900fb0,2347,FORWARD_EDGE
8,0x7efc7b900fb0,0x7efc7b9017f0,119,FORWARD_EDGE
9,0x7efc7b9017f0,0x7efc02625bf0,185,FORWARD_EDGE
10,0x7efc02625bf0,0x7efc7b900bb0,1140,FORWARD_EDGE
11,0x7efc7b900bb0,0x7efc02627050,87,FORWARD_EDGE
12,0x7efc02627050,0x7efc026256d0,339,FORWARD_EDGE
13,0x7efc026256d0,0x7efc026251b0,1302,FORWARD_EDGE
14,0x7efc026251b0,0x7efc7b9002d0,5469,FORWARD_EDGE
15,0x7efc7b9002d0,0x7efc026270b0,16,FORWARD_EDGE
16,0x7efc026270b0,0x7efc02626e50,586,FORWARD_EDGE
17,0x7efc02626e50,0x7efc02625910,416,FORWARD_EDGE
18,0x7efc02625910,0x7efc7b900b70,657,FORWARD_EDGE
19,0x7efc7b900b70,0x7efc02626f90,85,FORWARD_EDGE
20,0x7efc02626f90,0x7efc7b901610,2338,FORWARD_EDGE
21,0x7efc7b901610,0x7efc02627470,170,FORWARD_EDGE
22,0x7efc02627470,0x7efc02627490,3165,FORWARD_EDGE
23,0x7efc02627490,0x7efc026274f0,1934,FORWARD_EDGE
24,0x7efc026274f0,0x7efc02627550,2856,FORWARD_EDGE
25,0x7efc02627550,0x7efc7b901290,1180,FORWARD_EDGE
26,0x7efc7b901290,0x7efc026275b0,142,FORWARD_EDGE
27,0x7efc026275b0,0x7efc02627650,1182,FORWARD_EDGE
28,0x7efc02627650,0x7efc026276f0,3506,FORWARD_EDGE
29,0x7efc026276f0,0x7efc02627750,333,FORWARD_EDGE
30,0x7efc02627750,0x7efc02627770,427,FORWARD_EDGE
31,0x7efc02627770,0x7efc026277d0,1026,FORWARD_EDGE
32,0x7efc026277d0,0x7efc02627870,754,FORWARD_EDGE
33,0x7efc02627870,0x7efc7b901a50,1113,FORWARD_EDGE
34,0x7efc7b901a50,0x7efc02627910,204,FORWARD_EDGE
35,0x7efc02627910,0x7efc02627930,2541,FORWARD_EDGE
36,0x7efc02627930,0x7efc02627990,3876,FORWARD_EDGE
37,0x7efc02627990,0x7efc02627a30,3052,FORWARD_EDGE
38,0x7efc02627a30,0x7efc02627a90,4363,FORWARD_EDGE
39,0x7efc02627a90,0x7efc02627ab0,585,FORWARD_EDGE
40,0x7efc02627ab0,0x7efc02627b10,1074,FORWARD_EDGE
41,0x7efc02627b10,0x7efc7b901170,1252,FORWARD_EDGE
42,0x7efc7b901170,0x7efc7b900eb0,133,FORWARD_EDGE
43,0x7efc7b900eb0,0x7efc02627bf0,111,FORWARD_EDGE
44,0x7efc02627bf0,0x7efc7b900ff0,2250,FORWARD_EDGE
45,0x7efc7b900ff0,0x7efc02627cd0,121,FORWARD_EDGE
46,0x7efc02627cd0,0x7efc02627d30,491,FORWARD_EDGE
47,0x7efc02627d30,0x7efc02627d50,303,FORWARD_EDGE
48,0x7efc02627d50,0x7efc7b9011f0,804,FORWARD_EDGE
49,0x7efc7b9011f0,0x7efc02627df0,137,FORWARD_EDGE
50,0x7efc02627df0,0x7efc02627e50,802,FORWARD_EDGE
51,0x7efc02627e50,0x7efc02627eb0,1324,FORWARD_EDGE
52,0x7efc02627eb0,0x7efc02627f50,1394,FORWARD_EDGE
53,0x7efc02627f50,0x7efc02627fb0,1113,FORWARD_EDGE
54,0x7efc02627fb0,0x7efc7b900850,2075,FORWARD_EDGE
55,0x7efc7b900850,0x7efc02454030,60,FORWARD_EDGE
56,0x7efc02454030,0x7efc024540b0,592,FORWARD_EDGE
57,0x7efc024540b0,0x7efc02454150,1702,FORWARD_EDGE
58,0x7efc02454150,0x7efc024541b0,2107,FORWARD_EDGE
59,0x7efc024541b0,0x7efc7b900d30,839,FORWARD_EDGE
60,0x7efc7b900d30,0x7efc02454210,99,FORWARD_EDGE
61,0x7efc02454210,0x7efc7b900c50,788,FORWARD_EDGE
62,0x7efc7b900c50,0x7efc02454270,92,FORWARD_EDGE
63,0x7efc02454270,0x7efc02454310,290,FORWARD_EDGE
64,0x7efc02454310,0x7efc02454370,992,FORWARD_EDGE
65,0x7efc02454370,0x7efc02454410,546,FORWARD_EDGE
